sample,point_load_u1_mean,point_load_u2_mean,ranslation_u1_mean,shear_u1_mean,shear_u2_mean,translation_u1_mean,translation_u2_mean,uniaxial_u1_mean,uniaxial_u2_mean,point_load_u1_std,point_load_u2_std,ranslation_u1_std,shear_u1_std,shear_u2_std,translation_u1_std,translation_u2_std,uniaxial_u1_std,uniaxial_u2_std,point_load_u1_p20,point_load_u2_p20,ranslation_u1_p20,shear_u1_p20,shear_u2_p20,translation_u1_p20,translation_u2_p20,uniaxial_u1_p20,uniaxial_u2_p20
053,-38.84,-37.33,,-1.06,-0.32,-2.05,0.0,-1.35,-4.66,26.24,21.97,,10.88,7.47,1.15,0.03,4.01,9.06,83.2,84.44,,0.88,0.8,0.0,0.0,1.1,4.89
054,-38.05,-39.41,,0.15,-0.34,-1.25,0.0,-0.55,-4.27,9.14,10.56,,2.83,3.2,0.65,0.03,2.76,7.04,87.58,87.87,,0.15,0.22,0.0,0.0,0.44,3.36
055,-43.42,-43.59,-1.36,-0.06,0.2,,0.0,-0.88,-3.42,10.26,10.64,0.77,3.4,2.85,,0.03,3.86,6.29,87.73,87.44,0.0,0.51,0.15,,0.0,0.8,2.85
056,-43.42,-43.59,,-0.06,0.2,-1.36,0.0,-0.88,-3.42,10.26,10.64,,3.4,2.85,0.77,0.03,3.86,6.29,87.73,87.44,,0.51,0.15,0.0,0.0,0.8,2.85
057,-33.51,-36.07,,0.1,0.24,-1.47,0.0,-0.53,-3.59,18.89,11.58,,4.65,10.19,0.74,0.02,2.69,7.24,86.25,91.43,,0.23,0.31,0.0,0.0,0.08,3.4
058,-44.57,-42.32,,-0.26,0.72,-1.5,0.0,-0.59,-3.15,11.45,8.32,,3.3,3.14,0.74,0.02,2.94,6.43,93.75,94.21,,0.15,0.39,0.0,0.0,0.39,3.01
059,-36.72,-37.78,,0.39,0.7,-1.22,0.0,-0.46,-3.37,8.88,8.31,,2.92,2.9,0.63,0.02,2.55,5.93,87.36,88.39,,0.22,0.15,0.0,0.0,0.07,2.34
060,-40.06,-40.34,,-0.86,0.36,-2.27,0.0,-1.43,-3.5,24.82,32.11,,4.49,3.12,1.01,0.03,3.51,6.72,91.66,94.13,,0.77,0.31,0.0,0.0,0.77,3.86
061,-40.05,-37.74,,0.2,0.29,-1.5,0.0,-0.7,-3.03,47.07,25.04,,8.03,3.58,0.67,0.02,2.67,5.78,91.27,93.75,,0.23,0.15,0.0,0.0,0.23,2.47
062,-39.42,-39.66,,-0.67,0.25,-1.5,0.0,-0.96,-3.65,9.61,7.71,,12.06,6.16,0.72,0.02,3.1,13.47,91.74,93.36,,0.31,0.39,0.0,0.0,0.31,3.01
063,-38.36,-38.45,,-0.1,0.75,-1.53,0.0,-0.72,-2.84,25.44,8.61,,3.44,2.47,0.69,0.02,2.68,5.09,85.17,89.19,,0.37,0.0,0.0,0.0,0.22,1.75
064,-37.88,-38.72,,-0.16,0.6,-1.83,0.0,-1.0,-2.58,61.2,34.7,,3.26,2.49,0.77,0.02,3.12,5.31,82.03,88.82,,0.37,0.07,0.0,0.0,0.58,1.53
065,-44.2,-45.25,,0.06,-0.44,-1.28,0.0,-0.59,-4.01,10.1,11.14,,3.16,3.49,0.7,0.03,3.03,7.83,89.04,88.68,,0.29,0.37,0.0,0.0,0.37,3.58
066,-42.03,-40.12,,-0.88,0.03,-2.06,0.0,-1.24,-3.64,13.94,9.92,,7.67,7.38,0.91,0.03,2.87,6.62,91.97,93.9,,0.31,0.23,0.0,0.0,0.23,2.55
067,-43.43,-40.66,,-0.29,0.02,-1.62,0.0,-0.61,-3.13,10.26,8.15,,5.24,3.85,0.79,0.03,2.38,6.15,88.39,88.68,,0.15,0.15,0.0,0.0,0.07,2.12
068,-38.47,-38.72,,-0.4,0.12,-1.5,0.0,-0.76,-4.0,10.93,9.56,,6.52,8.55,0.81,0.03,2.78,7.38,89.88,92.05,,0.46,0.77,0.0,0.0,0.31,3.4
069,-37.58,-36.68,,-0.55,0.32,-1.68,0.0,-1.11,-3.54,40.75,22.85,,7.62,4.79,0.8,0.02,3.1,7.37,88.49,91.12,,0.54,0.15,0.0,0.0,0.23,3.32
070,-42.25,-40.19,,-0.21,0.49,-1.81,0.0,-0.95,-2.96,14.88,9.2,,3.71,3.06,0.86,0.02,3.02,6.11,87.8,89.04,,0.58,0.0,0.0,0.0,0.22,2.12
071,-43.46,-44.21,,0.36,-0.09,-1.26,0.0,-0.4,-3.01,14.0,10.28,,2.91,2.67,0.73,0.03,2.81,5.23,89.34,89.26,,0.15,0.15,0.0,0.0,0.22,1.9
072,-40.81,-40.56,,0.26,0.34,-1.34,0.0,-0.65,-3.54,9.47,9.05,,3.27,3.27,0.72,0.02,3.02,6.64,86.85,87.36,,0.22,0.37,0.0,0.0,0.58,2.34
073,-43.46,-44.21,,0.36,-0.09,-1.26,0.0,-0.4,-3.01,14.0,10.28,,2.91,2.67,0.73,0.03,2.81,5.23,89.34,89.26,,0.15,0.15,0.0,0.0,0.22,1.9
