Sample_ID,MNIST_Digit,Accuracy,Accuracy_Percentage,Dominant_Class_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes,Class_Distribution,Stored_Accuracy,class_3_support,class_3_accuracy,class_3_precision,class_3_recall,class_3_f1,class_3_iou,class_5_support,class_5_accuracy,class_5_precision,class_5_recall,class_5_f1,class_5_iou,class_2_support,class_2_accuracy,class_2_precision,class_2_recall,class_2_f1,class_2_iou,class_4_support,class_4_accuracy,class_4_precision,class_4_recall,class_4_f1,class_4_iou
0,5,0.9980867346938775,99.80867346938776,68.75,3136,3130,6,0.1913265306122449,2,"{np.int64(3): np.int64(980), np.int64(5): np.int64(2156)}",0.9980867346938775,980.0,0.9980867346938775,0.9939148073022313,1.0,0.9969481180061037,0.9939148073022313,2156.0,0.9980867346938775,1.0,0.9972170686456401,0.9986065954482118,0.9972170686456401,,,,,,,,,,,,
1,4,1.0,100.0,88.16964285714286,3136,3136,0,0.0,2,"{np.int64(2): np.int64(371), np.int64(4): np.int64(2765)}",1.0,,,,,,,,,,,,,371.0,1.0,1.0,1.0,1.0,1.0,2765.0,1.0,1.0,1.0,1.0,1.0
2,5,0.9996811224489796,99.96811224489795,85.71428571428571,3136,3135,1,0.03188775510204082,2,"{np.int64(3): np.int64(448), np.int64(5): np.int64(2688)}",0.9996811224489796,448.0,0.9996811224489796,0.9977728285077951,1.0,0.9988851727982163,0.9977728285077951,2688.0,0.9996811224489796,1.0,0.9996279761904762,0.9998139534883721,0.9996279761904762,,,,,,,,,,,,
3,4,0.9846938775510204,98.46938775510205,84.56632653061224,3136,3088,48,1.530612244897959,2,"{np.int64(2): np.int64(484), np.int64(4): np.int64(2652)}",0.9846938775510204,,,,,,,,,,,,,484.0,0.9846938775510204,0.9560669456066946,0.9442148760330579,0.9501039501039501,0.904950495049505,2652.0,0.9846938775510204,0.989841986455982,0.9920814479638009,0.9909604519774011,0.9820828667413214
4,5,0.9990433673469388,99.90433673469387,86.16071428571429,3136,3133,3,0.09566326530612244,2,"{np.int64(3): np.int64(434), np.int64(5): np.int64(2702)}",0.9990433673469388,434.0,0.9990433673469388,0.9954022988505747,0.9976958525345622,0.996547756041427,0.9931192660550459,2702.0,0.9990433673469388,0.9996297667530544,0.999259807549963,0.9994447529150472,0.9988901220865705,,,,,,,,,,,,
