Sample_ID,Filename,File_Number,MNIST_Digit,Dominant_Material_Class,All_Material_Classes,Mask_Shape,Accuracy,Accuracy_Percentage,Total_Pixels,Correct_Pixels,Error_Pixels,Error_Percentage,Num_Classes
44,044.npz,44,4,8,"[0, 8]","(51, 51)",0.9719338715878508,97.19338715878509,2601,2528,73,2.8066128412149176,2
45,045.npz,45,5,9,"[3, 9]","(51, 51)",0.9830834294502114,98.30834294502114,2601,2557,44,1.6916570549788543,2
46,046.npz,46,6,8,"[4, 8]","(51, 51)",0.9919261822376009,99.19261822376009,2601,2580,21,0.8073817762399077,2
47,047.npz,47,7,9,"[7, 9]","(51, 51)",0.9900038446751249,99.00038446751249,2601,2575,26,0.9996155324875048,2
48,048.npz,48,8,8,"[0, 8]","(51, 51)",0.988081507112649,98.8081507112649,2601,2570,31,1.1918492887351018,2
49,049.npz,49,9,9,"[3, 9]","(51, 51)",0.98000768935025,98.000768935025,2601,2549,52,1.9992310649750096,2
50,050.npz,50,0,8,"[4, 8]","(51, 51)",0.9757785467128027,97.57785467128028,2601,2538,63,2.422145328719723,2
51,051.npz,51,1,9,"[7, 9]","(51, 51)",0.974240676662822,97.4240676662822,2601,2534,67,2.575932333717801,2
52,052.npz,52,2,8,"[0, 8]","(51, 51)",0.9873125720876585,98.73125720876585,2601,2568,33,1.2687427912341407,2
53,053.npz,53,3,9,"[3, 9]","(51, 51)",0.9761630142252979,97.6163014225298,2601,2539,62,2.3836985774702035,2
54,054.npz,54,4,8,"[4, 8]","(50, 51)",0.98,98.0,2550,2499,51,2.0,2
55,055.npz,55,5,9,"[7, 9]","(50, 50)",0.9744,97.44,2500,2436,64,2.56,2
56,056.npz,56,6,8,"[0, 8]","(50, 51)",0.9784313725490196,97.84313725490196,2550,2495,55,2.156862745098039,2
57,057.npz,57,7,9,"[3, 9]","(51, 51)",0.9911572472126106,99.11572472126106,2601,2578,23,0.8842752787389465,2
58,058.npz,58,8,8,"[4, 8]","(51, 51)",0.988081507112649,98.8081507112649,2601,2570,31,1.1918492887351018,2
59,059.npz,59,9,9,"[7, 9]","(51, 51)",0.9850057670126874,98.50057670126874,2601,2562,39,1.4994232987312572,2
60,060.npz,60,0,8,"[0, 8]","(51, 51)",0.9850057670126874,98.50057670126874,2601,2562,39,1.4994232987312572,2
61,061.npz,61,1,9,"[3, 9]","(51, 51)",0.9888504421376394,98.88504421376393,2601,2572,29,1.114955786236063,2
62,062.npz,62,2,8,"[4, 8]","(51, 51)",0.9803921568627451,98.0392156862745,2601,2550,51,1.9607843137254901,2
63,063.npz,63,3,9,"[7, 9]","(51, 51)",0.9780853517877739,97.80853517877739,2601,2544,57,2.1914648212226067,2
64,064.npz,64,4,8,"[0, 8]","(51, 51)",0.9811610918877355,98.11610918877355,2601,2552,49,1.8838908112264514,2
65,065.npz,65,5,9,"[3, 9]","(51, 51)",0.9803921568627451,98.0392156862745,2601,2550,51,1.9607843137254901,2
66,066.npz,66,6,8,"[4, 8]","(51, 51)",0.9711649365628604,97.11649365628604,2601,2526,75,2.883506343713956,2
67,067.npz,67,7,9,"[7, 9]","(50, 51)",0.971764705882353,97.1764705882353,2550,2478,72,2.823529411764706,2
68,068.npz,68,8,8,"[0, 8]","(50, 51)",0.983921568627451,98.3921568627451,2550,2509,41,1.607843137254902,2
69,069.npz,69,9,9,"[3, 9]","(50, 51)",0.9819607843137255,98.19607843137254,2550,2504,46,1.803921568627451,2
